source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA,9/8/2018 15:45,28281,112546,FALSE,1.03845E+18
Twitter for iPhone,Had a very good phone call with @EmmanuelMacron President of France. Discussed various subjects in particular Security and Trade. Many other calls and conversations today. Looking forward to dinner tonight with Tim Cook of Apple. He is investing big dollars in U.S.A.,8/10/2018 22:47,16408,79785,FALSE,1.02805E+18
Twitter for iPhone,Why didn’t President Obama do something about the so-called Russian Meddling when he was told about it by the FBI before the Election? Because he thought Crooked Hillary was going to win and he didn’t want to upset the apple cart! He was in charge not me and did nothing.,5/27/2018 20:32,34148,126769,FALSE,1.00084E+18
Twitter for iPhone,Looking forward to my meeting with Tim Cook of Apple. We will be talking about many things including how the U.S. has been treated unfairly for many years by many countries on trade.,4/25/2018 14:11,15984,86666,FALSE,9.89145E+17
Twitter for iPhone,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States. Great to see Apple follow through as a result of TAX CUTS. Huge win for American workers and the USA! https://t.co/OwXVUyLOb1,1/17/2018 23:28,24533,92540,FALSE,9.53771E+17
Twitter for iPhone,Thank you- Appleton Wisconsin!#WIPrimary #Trump2016 https://t.co/XkbTWHpEvy https://t.co/klUNUV2J5S,3/30/2016 21:35,6218,17001,FALSE,7.15291E+17
Twitter for Android,Boycott all Apple products  until such time as Apple gives cellphone info to authorities regarding radical Islamic terrorist couple from Cal,2/19/2016 21:38,4312,10640,FALSE,7.00797E+17
Twitter Web Client,I use both iPhone &amp; Samsung. If Apple doesn't give info to authorities on the terrorists I'll only be using Samsung until they give info.,2/19/2016 21:32,3570,9586,FALSE,7.00795E+17
Twitter for Android,@ChadR73: Guess Barry Diller is afraid @realDonaldTrump is about to upset the crony applecart. #Trump2016 @Carl_C_Icahn An angry fool!,10/6/2015 23:18,523,1201,FALSE,6.51537E+17
Twitter for Android,"@Sheriapple: @realDonaldTrump Thought ur interview w @donlemon was inspiring. U speak the truth.,07-02-2015 12:58:43,66,191,false,616591833834127360
Twitter for Android,@MunichEleven: Baseball Hotdogs Apple Pie and a vote for @realDonaldTrump in 502 days! On 11/08/2016 we make our country great again!""",6/25/2015 3:07,113,261,FALSE,6.13906E+17
Twitter for Android,@japple8686: @My3Alexandra @realDonaldTrump cop was unarmed watch the news,1/8/2015 0:23,20,39,FALSE,5.52984E+17
Twitter for Android,@TLCr2: @jennyapples @realDonaldTrump @cnnbrk @CNN no thanks to obama,11/1/2014 1:21,20,37,FALSE,5.28356E+17
Twitter Web Client,I’ll bet if I didn’t harass Apple for the last 2 years about the large screen iPhone they wouldn’t have done it—but it bends &amp; breaks!,9/25/2014 20:35,299,267,FALSE,5.15238E+17
Twitter Web Client,Flashback from October 2013: “Donald Trump demands larger iPhone screen” http://t.co/5CCg8p8N2O You’re welcome! Apple listened.,9/10/2014 18:49,133,150,FALSE,5.09776E+17
Twitter for Android,@mappleby747: Trump 2016! We need someone who not only wants to Change this country but can change this country. @realDonaldTrump Thanks.,6/1/2014 1:09,23,53,FALSE,4.72908E+17
Twitter Web Client,@DonNadeau Thank you so much for supporting a larger Galaxy-like iPhone screen. Even with glasses current one strains. #Apple  True.,4/1/2014 13:30,16,30,FALSE,4.50988E+17
Twitter Web Client,I wonder if Apple is upset with me for hounding them to produce a large screen iPhone. I hear they will be doing it soon—long overdue.,3/24/2014 14:18,306,471,FALSE,4.48102E+17
Twitter for Android,@stephinkycheese: @gjonesiv @StuartAppleby Yep what a rough day.. I bet @realDonaldTrump loves the leaderboard looking like a U.S. Open.,3/8/2014 9:37,4,21,FALSE,4.42233E+17
