source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,NASA which is making a BIG comeback under the Trump Administration has just named 9 astronauts for Boeing and Spacex space flights. We have the greatest facilities in the world and we are now letting the private sector pay to use them. Exciting things happening. Space Force!,08-03-2018 22:43:03,17608,81570,false,1025512396654346251
Twitter for Android,Going to Charleston South Carolina in order to spend time with Boeing and talk jobs! Look forward to it.,02-17-2017 11:38:20,14334,99095,false,832554772318322688
Twitter for Android,Based on the tremendous cost and cost overruns of the Lockheed Martin F-35 I have asked Boeing to price-out a comparable F-18 Super Hornet!,12-22-2016 22:26:05,14954,62693,false,812061677160202240
Twitter for Android,Boeing is building a brand new 747 Air Force One for future presidents but costs are out of control more than $4 billion. Cancel order!,12-06-2016 13:52:35,42984,141634,false,806134244384899072
Twitter for Android,"@PzFeed: The glitziest jet in the sky. Donald spent $100 million on his Boeing 757. VIDEO: http://t.co/phiV9cFI2U http://t.co/HLn6tNyhY9",04-13-2015 00:48:58,69,177,false,587417157199331328
Twitter for Android,Tell Saudi Arabia and others that we want (demand!) free oil for the next ten years or we will not protect their private Boeing 747s.Pay up!,09-11-2014 01:51:45,1341,927,false,509881954326835200
Twitter for Android,Interesting how President Obama is flying around in a Boeing 747 on so-called Earth Day!,04-23-2014 01:54:36,429,527,false,458785983270780928
Twitter for Android,"@CheezitsCat: .@realDonaldTrump what is ur favorite plane?"  Boeing 757 and Citation X.,03-20-2014 06:06:26,35,59,false,446528168619692032
Twitter for Android,Lithium ion batteries should  not be allowed to be used in aircraft. I won't fly on the Boeing 787 Dreamliner - it uses those batteries.,03-20-2014 05:54:22,122,113,false,446525134388879360
Twitter for Android,"@RealBboy360: @realDonaldTrump Boeing is at a record high thanks for saying to buy a while back" You are welcome.,09-18-2013 04:48:38,17,16,false,380191613672501248
Twitter for Android,"@carson_evans1: @realDonaldTrump You were right back in January when you said Boeing was the stock to buy..."  Thank you!,07-01-2013 09:53:27,11,19,false,351639679357042690
Twitter Web Client,For beauty and flight I’ll take the @Boeing 757 over the @Boeing 787 any day!,03-19-2013 16:48:29,36,19,false,314055789901934592
Twitter Web Client,l still think @Boeing should just bite the bullet &amp; get rid of the new batteries in the 787. Those batteries will always be a problem!,03-19-2013 16:48:26,20,13,false,314055774617878528
Twitter Web Client,.@Boeing stock went way down because of 787- so I just bought stock in @Boeing- great company!,01-17-2013 17:44:35,167,99,false,291964245602607105
Twitter Web Client,Obama will be trying very hard at next debate- he doesn't want to lose the Boeing.,10-15-2012 02:24:30,372,110,false,257668238710820864
