source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,The Fake News Networks those that knowingly have a sick and biased AGENDA are worried about the competition and quality of Sinclair Broadcast. The “Fakers” at CNN NBC ABC &amp; CBS have done so much dishonest reporting that they should only be allowed to get awards for fiction!,04-03-2018 10:34:18,21418,86809,false,981117684489379840
Twitter for iPhone,RT @charliekirk11: Incredible video: @CBS does a special on the GOP tax plan The result?Every middle class family they sat down with SA…,12-29-2017 12:50:17,15548,0,true,946725057384108033
Twitter for iPhone,Keep hearing about "tiny" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN ABC NBC &amp; CBS?,10-21-2017 20:06:00,24336,101054,false,921829947093733376
Twitter for iPhone,So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews @CBSNews @ABC and @CNN. Fiction writers!,10-17-2017 21:51:34,16242,64187,false,920406959320371200
Twitter for iPhone,Hard to believe that with 24/7 #Fake News on CNN ABC NBC CBS NYTIMES &amp; WAPO the Trump base is getting stronger!,08-07-2017 11:18:05,17420,74243,false,894518002795900928
Twitter for iPhone,RT @townhallcom: ABC NBC And CBS Pretty Much Bury IT Scandal Engulfing Debbie Wasserman Schultz's Office https://t.co/PjbZ2TGIKb,07-27-2017 12:49:41,25716,0,true,890554786755555329
Twitter for iPhone,So they caught Fake News CNN cold but what about NBC CBS &amp; ABC? What about the failing @nytimes &amp; @washingtonpost? They are all Fake News!,06-27-2017 12:47:17,33366,112223,false,879682547235651584
Twitter for iPhone,Sorry folks but if I would have relied on the Fake News of CNN NBC ABC CBS washpost or nytimes I would have had ZERO chance winning WH,06-06-2017 12:15:36,26473,108333,false,872064426568036353
Twitter for Android,The FAKE NEWS media (failing @nytimes @NBCNews @ABC @CBS @CNN) is not my enemy it is the enemy of the American People!,02-17-2017 21:48:22,52654,162368,false,832708293516632065
Twitter for iPhone,RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer related to Hillary Clinton server that are "new" &amp; not p…,11-03-2016 23:30:17,16216,0,true,794320826237644805
Twitter for Android,"@Susiesentinel: #pence is so much more likeable than Kaine #cbsnews @realDonaldTrump",10-05-2016 01:16:00,5367,22298,false,783475795238858752
Twitter for Android,"@60Minutes: DonaldTrump and his running mate @Mike_Pence to appear on #60Minutes in first joint interview. CBS https://t.co/lZH7qw9qmu",07-17-2016 18:41:24,4166,12666,false,754747849737461760
Twitter for iPhone,The rigged system may have helped Hillary Clinton escape criminal charges but...https://t.co/KO64IAMDgj https://t.co/8CBSfNpl2l,07-06-2016 12:11:03,7099,16142,false,750663349025767424
Twitter for iPhone,RT @CBSNews: WATCH NOW: The @realDonaldTrump supporters you'd never expect https://t.co/jKeVJX5u73 https://t.co/pbft0Eq3Y1,06-04-2016 01:14:50,3284,0,true,738901792210194432
Twitter Web Client,The writer of the now proven false story in the @nytimes Michael Barbaro who was interviewed on CBS this morning was unable to respond.,05-16-2016 22:15:52,4568,13378,false,732333772587302912
Twitter for Android,"@AshleyEdam: New CBS Poll shows defections from Cruz's core supporters &amp; increased support for @realDonaldTrump ...Not surprising.",04-16-2016 21:30:09,3794,10257,false,721450634520584192
Twitter for iPhone,Senator Sessions will serve as the Chairman of my National Security Advisory Committee. https://t.co/jQed1P6SD9 https://t.co/n83Cbs4jtA,03-04-2016 01:20:00,6229,14095,false,705563410528915457
Twitter for Android,New CBS National Poll just out - massive lead for Trump. The Wall Street Journal/NBC Poll is a total joke. No wonder WSJ is doing so badly!,02-18-2016 12:26:46,3187,7730,false,700295391842058240
Twitter for iPhone,Will be interviewed by @StephenAtHome tonight by phone- a late show first @CBS @colbertlateshow. Enjoy! #Colbert #LSSC,02-16-2016 23:15:53,1625,4683,false,699733970158800898
Twitter for Android,Wow in the new CBS Poll I went way up into the forties! Thank you!,02-14-2016 21:10:20,3700,12457,false,698977598844637185
Twitter for iPhone,I will be on Face the Nation with John Dickerson on CBS this morning. Enjoy!,02-14-2016 14:51:02,1290,5921,false,698882145297764353
Twitter for iPhone,CBS's FACE THE NATION - Posts Largest Audience Since 2001#Trump2016 #MakeAmericaGreatAgain https://t.co/TzZx97FU1n,01-27-2016 04:40:29,2414,6802,false,692205512130215938
Twitter for Android,"@MaryAnn1942: @realDonaldTrump @CBSNews ... You are like Superman everywhere! But I'm keeping up.  Great!,01-24-2016 22:14:34,736,2821,false,691383618137001984
Twitter for Android,I will be on Face The Nation this morning at various times across the U.S. @CBSNews  Enjoy!,01-24-2016 14:13:08,883,3554,false,691262461450715137
Twitter for iPhone,New CBS poll. #Trump2016https://t.co/sFPRHHeLbd,01-13-2016 02:56:14,1267,3977,false,687105848699662336
Twitter for Android,Face The Nation's interview of me was the highest rated show that they have had in 15 years. Congratulations and WOW!  @CBSNews @jdickerson,01-12-2016 02:42:49,1485,5234,false,686740083265957889
Twitter for Android,.@MajorCBS Major Garrett of @CBSNews covers me very inaccurately. Total agenda bad reporter!,01-12-2016 01:49:59,1048,3413,false,686726788144300032
Twitter Web Client,Establishment flunky @KarlRove is going crazy with the just released CBS poll that has me way ahead. New Fox poll has me beating Hillary.,12-10-2015 17:56:19,2491,5760,false,675011172496723968
Twitter for Android,I will be interviewed on Face The Nation @CBSNews at 10:30 A.M. Should be interesting - ENJOY!,12-06-2015 14:39:17,656,1847,false,673512038522626048
Twitter for iPhone,.@KatyTurNBC 3rd rate reporter &amp; @SopanDeb @ CBS lied. Finished in normal manner&amp;signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o,12-06-2015 00:36:03,1313,2655,false,673299830094057472
Twitter for Android,"@Co: CBS reports "swarms" of celebrators were on roofs in Jersey on 9/11/2001???? VIDEO: https://t.co/1KBPRCSXEt https://t.co/C6nKmbQK8a",12-03-2015 12:01:17,1384,2357,false,672385109820112896
Twitter for iPhone,Thank you CBS &amp; Breitbart-total vindication! Will the mainstream media apologize? Many many witnesses. #Trump2016 https://t.co/AsxnfFWipJ,12-02-2015 20:26:52,2011,3699,false,672149956208271360
Twitter for Android,"@jcooper75: #DemDebate this debate stinks. CBS News major fail. @realDonaldTrump",11-15-2015 03:23:23,980,2368,false,665731797569904641
Twitter for Android,"@freedoms411: @wakeuppeopleSOS @mitchellvii  @CNN @ABC @CBS It shouldn't be ignored and I doubt it will be Carson will drop in polls.",11-10-2015 06:00:01,423,1038,false,663959273752231936
Twitter for Android,At 10:30 I will be interviewed on both @meetthepress by @chucktodd and @CBSNews Face The Nation by John Dickerson. This after long evening!,11-08-2015 14:24:17,823,2212,false,663361401935765504
Twitter for Android,"@Waxking911: @CBSNews @realDonaldTrump  https://t.co/3r0jabQKzi",11-07-2015 19:41:37,1743,3522,false,663078873966473216
Twitter for Android,"@CBSNews: WATCH: Donald Trump holds rally at USS Wisconsin in Virginia https://t.co/sjfTOxp4Kg https://t.co/8FIDOPO37H"  A great day.,10-31-2015 23:36:45,916,2016,false,660601331078578178
Twitter for Android,Leaving for New Hampshire now. Will be doing the @TODAYshow there live at 7:00 A.M. New @CBSNews Poll of New Hampshire: Trump 38 Carson 12!,10-26-2015 00:06:43,1039,2297,false,658434546841600000
Twitter for Android,"@mmolina44: @realDonaldTrump @ByronYork @CBSNews @CNN Donald Trump will be our next President of the United States.",10-25-2015 20:44:47,809,1898,false,658383726532034560
Twitter for Android,"@cospy8: @realDonaldTrump @ByronYork @CBSNews @CNN WAY ahead in all the polls that matter. TRUMP FOR PRESIDENT",10-25-2015 19:20:11,619,1337,false,658362435393474560
Twitter for Android,"@kathystone1221: @ByronYork @CBSNews @CNN OMG! Carson is more LOW KEY than Jeb!! Tried to watch him but fell asleep! #NOISYMAJORITY!",10-25-2015 19:07:04,604,1316,false,658359134572646404
Twitter for Android,"@nepafortrump:  @ByronYork @CBSNews @CNN We R here FIGHTING for you DJT! You are the only person who can #MakeAmericaGreatAgain #TeamTrump",10-25-2015 19:05:04,578,1276,false,658358632430632964
Twitter for Android,"@Tirolian2: @realDonaldTrump @ByronYork @CBSNews @CNN # TRUMP is Unstoppable ?? ???? ???? ????"  Thank you.,10-25-2015 18:55:36,580,1271,false,658356250942550018
Twitter for Android,"@thatgirlflorida: @realDonaldTrump @ByronYork @CBSNews @CNN Florida Loves Trump !!! We had a ball in Jacksonville Saturday! ???????????",10-25-2015 18:46:26,583,1284,false,658353943890776066
Twitter for Android,.@ByronYork  Great numbers from @CBSNews Poll. Also from ABC-Washington Post Poll. Thank you!  @CNN,10-25-2015 18:36:34,692,1412,false,658351460720226304
Twitter for Android,Do you believe that @FoxNews is still playing up the old Iowa poll numbers and no mention of the ABCWashington Post or just out CBS results?,10-25-2015 17:53:31,1252,2607,false,658340627592171520
Twitter for Android,.@CBSNews Poll - WOW!  New Hampshire  TRUMP 38% CARSON 12% BUSH 8%  South Carolina TRUMP 40% CARSON 23% CRUZ 8% Iowa TRUMP 27% CARSON 27%,10-25-2015 16:11:58,1820,3127,false,658315069739180034
Twitter for Android,Watch my interview on @CBSNews Face The Nation now and also the new CBS POLLS which if good for me the media won't report!,10-25-2015 14:29:51,740,1784,false,658289373994160128
Twitter for Android,Big poll comes out today on Face The Nation at 10:30 on @CBSNews.,10-25-2015 13:40:57,616,1297,false,658277066287226880
Twitter for Android,A big POLL will be announced this morning on @CBSNews  Face The Nation. I wonder if I do well if the press will report the results? Doubt it,10-25-2015 11:18:17,730,1885,false,658241163137257473
Twitter for Android,I will be on Face The Nation (CBS) today at 10:30 A.M. and Media Buzz (Fox News) at 11:00 A.M. Enjoy!,10-11-2015 12:09:52,990,2404,false,653180712930177024
Twitter Web Client,Great Gravis Poll on the great state of NH. Also watch @FaceTheNation on CBS &amp; @HowardKurtz #mediabuzz -- both on Sunday.,10-09-2015 22:43:35,714,1400,false,652615418515955712
Twitter Web Client,I will be interviewed on @FacetheNation Sunday 10AM on CBS. @johndickerson is a true pro!,10-09-2015 17:44:21,759,1351,false,652540115672297472
Twitter for Android,"@Apipwhisperer: @MarkPavelich @gentlemanirish @60Minutes  EXCELLENT WATCHING PUTIN'S BRILLIANCE AND TRUMP'S. @CBS I LOVED THE INTERVIEWS.",09-28-2015 02:30:36,1016,1709,false,648323893950873602
Twitter for Android,"@taurus82409: @CBS @60Minutes Look forward to it Donald. You are doing Great! Please keep up the fight many of us are behind you 100%!!,09-26-2015 13:06:38,1365,2423,false,647759183144730624
Twitter for Android,"@realDonaldTrump: I will be on @cbs @60minutes this Sunday. A great honor-- hope you enjoy it.",09-26-2015 12:41:55,1095,2242,false,647752961716830208
Twitter for iPhone,I will be on @cbs @60minutes this Sunday. A great honor-- hope you enjoy it.,09-25-2015 22:40:35,1690,3479,false,647541233137647616
Twitter Web Client,I will be doing @colbertlateshow at 11:30 on CBS. Enjoy! http://t.co/VDzpYct3Aq,09-23-2015 02:32:35,1253,3101,false,646512453497585664
Twitter for Android,"@MollyCBS2:  @realDonaldTrump will speak @ #Chicago city club today; Reports claim 2000 people are on the WAITING LIST to get in!",06-29-2015 11:21:35,78,191,false,615480224977920000
Twitter Web Client,“Donald trump files statement of candidacy” http://t.co/uiMCfHmtMU via @CBSNews,06-22-2015 23:18:28,138,289,false,613123918531022848
Twitter for Android,"@fabeshai: @CBSNews DonaldTrump the field looks very beatable for Hillary Donald should get in the race. He is a true Reagan republican.",05-01-2015 13:56:15,10,53,false,594138265768230912
Twitter for Android,"@LouistheXVI99: @realDonaldTrump can't wait to see you on Cbs Sunday morning! #comeflywithme #Trump2016",04-12-2015 13:43:26,9,25,false,587249670960840704
Twitter Web Client,Via @CBSNewYork: “@TrumpFerryPoint Opens In The Bronx” http://t.co/M3hXilcNNa,04-03-2015 17:31:33,17,22,false,584045584765558784
Twitter for BlackBerry,Via @CBSNews by @ReenaJF: "Donald Trump scolds Republicans: 'Toughen up'" http://t.co/fl25maZhTU,02-28-2015 20:12:47,64,98,false,571764976341405696
Twitter for Android,"@NatashaOwnfan:  @MissUniverse @TrumpDoral @KylePorterCBS @CBSSports Donald you have such a huge heart love everything Trump",01-15-2015 16:12:02,7,25,false,555759322630606848
Twitter Web Client,“WATCH: @MissUniverse contestants golf with Donald Trump @TrumpDoral” http://t.co/4piSTXG0G7 via @KylePorterCBS by @CBSSports,01-15-2015 15:50:59,13,20,false,555754023727693825
Twitter Web Client,Via @CBSmiami by @LisaPetrillo: “Trump Unveils Renovated @TrumpDoral Red Tiger Golf Course” http://t.co/GNJpH4qGml,01-13-2015 15:42:29,21,60,false,555027108142276608
Twitter Web Client,Via @CBSLA: "Donald Trump Fights To Keep Large American Flag Flying At Southland Golf Course" http://t.co/5ob1iFajzP,07-11-2014 17:32:19,62,64,false,487650607269171200
Twitter for Android,"@jeffokrina: @CBSSports @EyeOnGolf @realDonaldTrump: I agree with the Donald. What a goat track! I'll take the beauty of Pebble any day!",06-15-2014 23:55:26,7,12,false,478324939116646401
Twitter for Android,"@Annmajkrzak: @AP  @cbschicago I like the Trump Logo on the building! I feel this is a personal fight! &amp; will this fight cost IL residents",06-13-2014 08:21:02,5,23,false,477365012185378816
Twitter for Android,The statement about leaving the base came directly from CBS Evening News.,06-01-2014 01:41:29,28,45,false,472915807098245120
Twitter for Android,@PriscoCBS  Thank you!,04-16-2014 11:29:18,0,4,false,456393894289084416
Twitter for Android,"@michaelledeitri: And this is why r kids are bullies horrible examples set by adults. No excuses @NYMag fire him @FoxNews @CBSNews",10-18-2013 23:03:10,25,16,false,391338694164365313
Twitter Web Client,I'm on the David Letterman @LateShow tonight--looking forward to it. 11:35 PM on CBS.,10-17-2013 20:29:39,54,58,false,390937675739324416
Twitter Web Client,“Trumps Are Giving @TrumpDoral A Makeover” http://t.co/IkubS8qk1S via @CBSMiami,10-04-2013 19:51:02,9,14,false,386216913023426560
Twitter Web Client,Via @CBS19: "Trump Winery President Nominated for Award by Wine Enthusiast Magazine" http://t.co/r8gIUKu95p Congrats @EricTrump!,09-20-2013 13:06:23,1,6,false,381041651122053120
Twitter for Android,"@cbs397: @realDonaldTrump You should have your own talk show."  Networks and many have asked but I don't have the time. Thanks!,08-30-2013 04:32:43,18,23,false,373302234790264832
Twitter for Android,In that @TimeWarner has @HBO with really dumb racist  Bryant Gumbel(and I mean dumb) and no CBS (which fired Bryant) I am switching bldgs.,08-30-2013 04:02:14,42,32,false,373294566872715264
Twitter for Android,@NickFaldo006   Sir Nick is not only a great player he is a great guy -and by the way doing a fantastic job for CBS!,08-24-2013 20:59:58,3,4,false,371376359014412289
Twitter for Android,You must admit that Bryant Gumbel is one of the dumbest racists around - an arrogant dope with no talent. Failed at CBS etc-why still on TV?,08-21-2013 03:21:55,112,101,false,370022928639098880
Twitter for Android,I can't believe that in New York we can't watch the PGA Championsip on CBS. How    .much discount is Time Warner giving its customers?,08-11-2013 19:50:27,94,35,false,366647823770861568
Twitter Web Client,Via CBSWashDC: “114-Year-Old DC Building a Step Closer to Becoming Trump’s Latest Hotel” http://t.co/7uX5iAR6so,07-12-2013 14:40:41,29,11,false,355698232556388353
Twitter Web Client,Via @TVbytheNumbers: 'Celebrity Apprentice' is Number 1 among ABC CBS &amp; NBC for its Second Hour from 10-11 p.m. http://t.co/mz8RMP9ylC,05-01-2013 21:19:50,11,12,false,329706753157644289
