source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main goal.”Rob GoldmanVice President of Facebook Ads https://t.co/A5ft7cGJkE,2/17/2018 20:16,17148,58403,FALSE,9.64957E+17
Twitter for iPhone,The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads Rob Goldman! https://t.co/XGC7ynZwYJ,2/17/2018 20:11,18770,60818,FALSE,9.64955E+17
Twitter for iPhone,Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side not mine!,10/21/2017 21:21,23221,102739,FALSE,9.21849E+17
Twitter for iPhone,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN ABC NBC &amp; CBS?",10/21/2017 20:06,24336,101054,FALSE,9.2183E+17
Twitter for iPhone,Facebook was always anti-Trump.The Networks were always anti-Trump henceFake News @nytimes(apologized) &amp; @WaPo were anti-Trump. Collusion?,9/27/2017 13:36,16482,66773,FALSE,9.13035E+17
Twitter for iPhone,The Russia hoax continues now it's ads on Facebook. What about the totally biased and dishonest Media coverage in favor of Crooked Hillary?,9/22/2017 10:44,26853,105163,FALSE,9.11179E+17
Twitter for iPhone,Crooked Hillary Clinton now blames everybody but herself refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC.,6/1/2017 0:40,29836,116138,FALSE,8.70077E+17
Twitter for Android,Wow Twitter Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!,10/30/2016 14:26,35433,72013,FALSE,7.92734E+17
Twitter for Android,I will be using Facebook and Twitter to expose dishonest lightweight Senator Marco Rubio. A record no-show in Senate he is scamming Florida,3/7/2016 13:10,5682,15537,FALSE,7.06829E+17
Twitter for Android,@lunaticial Sorry Dopey I bought lots of Facebook Stock at 16.,7/31/2013 12:04,8,17,FALSE,3.62544E+17
Twitter for Android,Just watched Facebook COO Sheryl Sandberg on 60 Minutes. She should spend more time trying to get the F stock price up &amp; less on her ego!,6/30/2013 23:59,155,100,FALSE,3.5149E+17
Twitter Web Client,My @SquawkCNBC interview discussing why I don't own Facebook stock and running a tough campaign against @BarackObama http://t.co/QRJymuz0,5/22/2012 18:48,24,12,FALSE,2.05007E+17
Twitter Web Client,Seems hard to believe that @Facebook could be worth that much--be careful if you invest. And Mark Zuckerberg--get a pre-nup.,5/18/2012 16:21,748,105,FALSE,2.03521E+17
Twitter Web Client,@Facebook's Mark Zuckerberg is clearly a brilliant guy. My advice? Get a pre-nup! http://t.co/2hYRxRyi @RealMarkZuck,5/17/2012 17:17,26,8,FALSE,2.03173E+17
TwitLonger Beta,Facebook billionaire gives up his U.S. citizenship in order to save taxes. I guess 3.8 billion isn't enough for (cont) http://t.co/xaPBfxlm,5/14/2012 19:12,649,212,FALSE,2.02114E+17
