source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,I have no doubt that if the attack on Dr. Ford was as bad as she says charges would have been immediately filed with local Law Enforcement Authorities by either her or her loving parents. I ask that she bring those filings forward so that we can learn  date time and place!,09-21-2018 13:14:33,26966,112527,false,1043126336473055235
Twitter for iPhone,“Ford has abruptly killed a plan to sell a Chinese-made small vehicle in the U.S. because of the prospect of higher U.S. Tariffs.” CNBC.  This is just the beginning. This car can now be BUILT IN THE U.S.A. and Ford will pay no tariffs!,09-09-2018 13:49:20,20383,84225,false,1038786434306650113
Twitter for iPhone,Sergio Marchionne who passed away today was one of the most brilliant &amp; successful car executives since the days of the legendary Henry Ford. It was a great honor for me to get to know Sergio as POTUS he loved the car industry and fought hard for it. He will be truly missed!,07-25-2018 22:45:49,11896,62125,false,1022251602449756160
Twitter for iPhone,Had a great meeting with the House GOP last night at the Capitol. They applauded and laughed loudly when I mentioned my experience with Mark Sanford. I have never been a fan of his!,06-20-2018 20:04:45,10029,53851,false,1009527495043923968
Twitter for iPhone,My political representatives didn’t want me to get involved in the Mark Sanford primary thinking that Sanford would easily win - but with a few hours left I felt that Katie was such a good candidate and Sanford was so bad I had to give it a shot. Congrats to Katie Arrington!,06-13-2018 09:37:03,12221,63132,false,1006832813499269120
Twitter for iPhone,Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!,06-12-2018 20:12:43,18770,79157,false,1006630395067039744
Twitter for iPhone,The American people deserve a healthcare system that takes care of them – not one that takes advantage of them. We will work every day to ensure all Americans have access to the quality affordable medication they need and deserve. We will not rest until the job is done! https://t.co/9BzevAniNx,05-11-2018 20:56:25,20106,87242,false,995044981768425477
Twitter for iPhone,...despite already having signed a detailed letter admitting that there was no affair. Prior to its violation by Ms. Clifford and her attorney this was a private agreement. Money from the campaign or campaign contributions played no roll in this transaction.,05-03-2018 11:00:14,17510,84096,false,991995845120753664
Twitter for iPhone,...very common among celebrities and people of wealth. In this case it is in full force and effect and will be used in Arbitration for damages against Ms. Clifford (Daniels). The agreement was used to stop the false and extortionist accusations made by her about an affair......,05-03-2018 10:54:38,16677,76516,false,991994433750142976
Twitter for iPhone,RT @mike_pence: .@EdWGillespie is fighting to grow the economy &amp; cut taxes! He’s fighting for a safer VA. And he’s is fighting for affordab…,10-16-2017 00:49:41,5884,0,true,919727009797951488
Twitter for iPhone,Highly respected author Christopher Bedford just came out with book "The Art of the Donald Lessons from America's...." Really good book!,10-10-2017 12:13:54,11411,58333,false,917724872905777155
Twitter for iPhone,Thank you for joining me in Mandan ND Gov. @DougBurgum Lt. Gov. @BrentSanfordND @SenJohnHoeven @RepKevinCramer &amp; @SenatorHeitkamp. https://t.co/8nIvtHvpu6,09-07-2017 00:04:12,6481,33283,false,905582435538219011
Media Studio,To every PATRIOT who will serve on the #USSGeraldRFord:??Keep the watch??????Protect her??????Defend her??????LOVE HER????Good Luck &amp; Godspeed! https://t.co/shcz5GQkCh,07-23-2017 00:50:17,27239,111217,false,888924192573235201
Twitter for iPhone,American steel &amp; American hands have constructed a 100000 ton message to the world: American MIGHT IS SECOND TO NONE!#USSGeraldRFord #USA https://t.co/Pibf37Eybg,07-22-2017 22:57:01,13339,56799,false,888895687865380864
Media Studio,A ship is only as good as the people who serve on it — and the AMERICAN SAILOR is the BEST in the world. @USNavy #USSGeraldRFord https://t.co/YmiTLXcCEh,07-22-2017 19:22:35,16695,73092,false,888841724759597057
Twitter for iPhone,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,07-22-2017 14:43:18,8557,46317,false,888771440014749697
Twitter for iPhone,This morning I will be going to the Commissioning Ceremony for the largest aircraft carrier in the world The Gerald R. Ford.  Norfolk Va.,07-22-2017 10:52:00,12151,74010,false,888713231065391104
Twitter for iPhone,Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S.  JOBS! JOBS! JOBS!,03-28-2017 10:36:02,23340,109338,false,846672219073863681
Twitter for iPhone,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8,01-25-2017 00:46:57,18697,101012,false,824055927200423936
Twitter for Android,Totally biased @NBCNews went out of its way to say that the big announcement from Ford G.M. Lockheed &amp; others that jobs are coming back...,01-18-2017 12:34:09,10178,48148,false,821697182235496450
Twitter for Android,The "Unaffordable" Care Act will soon be history!,01-13-2017 11:33:24,30025,129591,false,819869953692155904
Twitter for Android,Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!,01-09-2017 14:16:34,23379,109595,false,818461467766824961
Twitter for Android,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,01-04-2017 13:19:09,19529,86542,false,816635078067490816
Twitter for iPhone,"@DanScavino: Ford to scrap Mexico plant invest in Michigan due to Trump policies"https://t.co/137nUo03Gl,01-03-2017 16:44:13,15571,52850,false,816324295781740544
Twitter for Android,The Democrat Governor.of Minnesota said "The Affordable Care Act (ObamaCare) is no longer affordable!" - And it is lousy healthcare.,01-03-2017 12:51:15,12599,53372,false,816265668958031872
Twitter for Android,People must remember that ObamaCare just doesn't work and it is not affordable - 116% increases (Arizona). Bill Clinton called it "CRAZY",01-03-2017 12:46:33,14481,58809,false,816264484629184513
Twitter for Android,I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their confidence in me!,11-18-2016 02:15:28,29271,117953,false,799435824622252032
Twitter for Android,Just got a call from my friend Bill Ford Chairman of Ford who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico,11-18-2016 02:01:52,49187,166484,false,799432403727028224
Twitter for iPhone,Thank you Sanford Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:… https://t.co/zVXrScClfd,10-25-2016 22:28:43,10167,24738,false,791043842124439552
Twitter for iPhone,Join me tomorrow in Sanford or Tallahassee Florida!Sanford at 3pm:https://t.co/PZENw9KhegTallahassee at 6pm:https://t.co/WKI69e1bqD,10-24-2016 21:15:23,5926,13806,false,790662999841333249
