source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @DHSgov: North CarolinaiTunes: https://t.co/ikyhB27ZO8Google Play: https://t.co/qfFgjM7C03VirginiaiTunes: https://t.co/Eu4YVGqFshG…,09-14-2018 11:31:46,2739,0,true,1040563753174151169
Twitter for iPhone,....results on “Trump News” are from National Left-Wing Media very dangerous. Google &amp; others are suppressing voices of Conservatives and hiding information and news that is good. They are controlling what we can &amp; cannot see. This is a very serious situation-will be addressed!,08-28-2018 15:02:51,20381,73497,false,1034456281120206848
Twitter for iPhone,Google search results for “Trump News” shows only the viewing/reporting of Fake News Media. In other words they have it RIGGED for me &amp; others so that almost all stories &amp; news is BAD. Fake CNN is prominent. Republican/Conservative &amp; Fair Media is shut out. Illegal? 96% of....,08-28-2018 15:02:49,27090,94669,false,1034456273306243076
Twitter for iPhone,....results on “Trump News” are from National Left-Wing Media very dangerous. Google &amp; others are suppressing voices of Conservatives and hiding information and news that is good. They are controlling what we can &amp; cannot see. This is a very serious situation-will be addressed!,08-28-2018 09:34:44,16499,53227,false,1034373707047882759
Twitter for iPhone,Google search results for “Trump News” shows only the viewing/reporting of Fake New Media. In other words they have it RIGGED for me &amp; others so that almost all stories &amp; news is BAD. Fake CNN is prominent. Republican/Conservative &amp; Fair Media  is shut out. Illegal?  96% of...,08-28-2018 09:24:35,16813,53762,false,1034371152204967936
Twitter for iPhone,RT @realDonaldTrump: I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies Google. They…,07-20-2018 14:39:21,24754,0,true,1020317241005477888
Twitter for iPhone,I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies Google. They truly have taken advantage of the U.S. but not for long!,07-19-2018 13:11:17,24778,98835,false,1019932691339399168
Twitter for Android,Wow Twitter Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!,10-30-2016 14:26:30,35433,72013,false,792734426912337920
Twitter for Android,"@Tytan01: Dear @CNN after doing a quick Google &amp; Twitter search there are over 15000 women's groups supporting DonaldTrump. Stop Lying.",03-26-2016 10:40:04,7664,18646,false,713676890750509056
Twitter for iPhone,#GOPDebate #GoogleTrends https://t.co/yVxFubckNs,02-14-2016 06:39:46,4164,10739,false,698758514559340544
Twitter for Android,"@ABCPolitics: .@realDonaldTrump dominating @Google searches throughout #GPLFers.  https://t.co/IF35C2jcon",02-07-2016 06:26:17,2402,5925,false,696218405825810432
Twitter for Android,"@WhiteJacketPink: @MyPresidentme @realDonaldTrump just google glenn beck bio. U can tell no education very poorly written.,01-26-2016 05:00:05,667,2601,false,691848058234146816
Twitter for Android,"@constant4change: Trump tops Dem candidates on Google before Dem debate https://t.co/vLi1g2Ry7z",12-20-2015 08:21:23,983,2552,false,678490367285678081
Twitter for Android,"@therealTMac11: @NRA Non-hunters don't get it. The Hunting community raises over $2billion dollars annually for conservation. #googleit",05-09-2015 12:11:11,53,74,false,597010928262053888
Twitter Web Client,From the Wall Street Journal: "Google Steps Into Autism Research" re @autismspeaks http://t.co/BpEeB6BxGM,06-20-2014 14:06:15,58,57,false,479988601833668608
Twitter for Android,Why doesn't President Obama just get the people from Google to fix the failed   website. In fact why didn't he use them in the first place!,10-20-2013 22:45:09,223,148,false,392058935962005504
Twitter Web Client,Spanish version of ObamaCare website  delayed http://t.co/s6xVqlpdJH Hitting google translate apparently too complicated. #MakeDCListen,09-27-2013 17:52:06,58,28,false,383650269172486144
Twitter Web Client,Check out Donald Trump's new iGoogle Showcase page:http://bit.ly/DdD2A,06-03-2009 18:19:49,9,14,false,2019316195
