source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Are the investigative “journalists” of the New York Times going to investigate themselves - who is the anonymous letter writer?,9/6/2018 23:12,18804,86141,FALSE,1.03784E+18
Twitter for iPhone,Does the so-called “Senior Administration Official” really exist or is it just the Failing New York Times with another phony source? If the GUTLESS anonymous person does indeed exist the Times must for National Security purposes turn him/her over to government at once!,9/5/2018 23:40,31916,120458,FALSE,1.03749E+18
Twitter for iPhone,The Failing New York Times! https://t.co/SHsXvYKpBf,9/5/2018 21:45,25528,88162,FALSE,1.03746E+18
Twitter for iPhone,According to the Failing New York Times the FBI started a major effort to flip Putin loyalists in 2014-2016. “It wasn’t about Trump he wasn’t even close to a candidate yet.”  Rigged Witch Hunt!,9/3/2018 19:21,18704,72600,FALSE,1.0367E+18
Twitter for iPhone,Some members of the media are very Angry at the Fake Story in the New York Times. They actually called to complain and apologize - a big step forward. From the day I announced the Times has been Fake News and with their disgusting new Board Member it will only get worse!,8/19/2018 12:14,22600,88499,FALSE,1.03115E+18
Twitter for iPhone,The Failing New York Times wrote a story that made it seem like the White House Councel had TURNED on the President when in fact it is just the opposite - &amp; the two Fake reporters knew this. This is why the Fake News Media has become the Enemy of the People. So bad for America!,8/19/2018 12:06,26504,99816,FALSE,1.03115E+18
Twitter for iPhone,The Boston Globe which was sold to the the Failing New York Times for 1.3 BILLION DOLLARS (plus 800 million dollars in losses &amp; investment) or 2.1 BILLION DOLLARS was then sold by the Times for 1 DOLLAR. Now the Globe is in COLLUSION with other papers on free press. PROVE IT!,8/16/2018 14:00,16770,66579,FALSE,1.03009E+18
Twitter for iPhone,...dying newspaper industry. No matter how much they try to distract and cover it up our country is making great progress under my leadership and I will never stop fighting for the American people! As an example the failing New York Times...,7/29/2018 19:09,15209,68586,FALSE,1.02365E+18
Twitter for iPhone,Had a very good and interesting meeting at the White House with A.G. Sulzberger Publisher of the New York Times. Spent much time talking about the vast amounts of Fake News being put out by the media &amp; how that Fake News has morphed into phrase “Enemy of the People.” Sad!,7/29/2018 12:30,18359,75592,FALSE,1.02355E+18
Twitter for iPhone,Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon the Washington Post who constantly quote anonymous sources that in my opinion don’t exist - They will both be out of business in 7 years!,7/7/2018 13:21,30058,126598,FALSE,1.01559E+18
Twitter for iPhone,“Disability applications plunge as economy strengthens”  Failing New York Times,6/23/2018 12:42,13619,64222,FALSE,1.0105E+18
Twitter for iPhone,Unlike what the Failing and Corrupt New York Times would like people to believe there is ZERO disagreement within the Trump Administration as to  how to deal with North Korea...and if there was it wouldn’t matter. The @nytimes has called me wrong right from the beginning!,5/26/2018 15:03,15224,62326,FALSE,1.00039E+18
Twitter for iPhone,The Failing New York Times criticized Secretary of State Pompeo for being AWOL (missing) when in fact he was flying to North Korea. Fake News so bad!,5/9/2018 22:38,26369,106024,FALSE,9.94346E+17
Twitter for iPhone,Headline: “Kim Prepared to Cede Nuclear Weapons if U.S. Pledges Not to Invade” - from the Failing New York Times. Also will shut down Nuclear Test Site in May.,4/30/2018 2:59,19825,92349,FALSE,9.90788E+17
Twitter for iPhone,The New York Times and a third rate reporter named Maggie Haberman known as a Crooked H flunkie who I don’t speak to and have nothing to do with are going out of their way to destroy Michael Cohen and his relationship with me in the hope that he will “flip.” They use....,4/21/2018 13:10,14573,59973,FALSE,9.8768E+17
Twitter for iPhone,If I wanted to fire Robert Mueller in December as reported by the Failing New York Times I would have fired him. Just more Fake News from a biased newspaper!,4/12/2018 10:03,19214,87391,FALSE,9.84371E+17
Twitter for iPhone,The Failing New York Times wrote another phony story. It was political pundit Doug Schoen not a Ukrainian businessman who asked me to do a short speech by phone (Skype) hosted by Doug in Ukraine. I was very positive about Ukraine-another negative to the Fake Russia  C story!,4/11/2018 10:30,17026,67201,FALSE,9.84016E+17
Twitter for iPhone,The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia case and am going to add another lawyer to help out. Wrong. I am VERY happy with my lawyers John Dowd Ty Cobb and Jay Sekulow. They are doing a great job and.....,3/11/2018 13:41,20912,91633,FALSE,9.7283E+17
Twitter for iPhone,It's hard to read the Failing New York Times or the Amazon Washington Post because every story/opinion even if should be positive is bad!,7/23/2017 23:57,15589,71155,FALSE,8.89273E+17
Twitter for iPhone,The Failing New York Times foiled U.S. attempt to kill the single most wanted terroristAl-Baghdadi.Their sick agenda over National Security,7/22/2017 10:45,20637,69595,FALSE,8.88711E+17
Twitter for iPhone,'Clinton Campaign And Harry Reid Worked With New York Times To Smear State Dept Watchdog'Time to #DrainTheSwamp! https://t.co/0VDdGdpCTg,10/21/2016 22:14,9734,16890,FALSE,7.89591E+17
Twitter Web Client,How bad is the New York Times—the most inaccurate coverage constantly. Always trying to belittle. Paper has lost its way!,4/26/2016 17:43,2733,9972,FALSE,7.25017E+17
Twitter for iPhone,David Brooks of the New York Times is closing in on being the dumbest of them all. He doesn’t have a clue.,3/6/2016 17:25,2367,8004,FALSE,7.06531E+17
Twitter for iPhone,Bob Dole Warns of ‘Cataclysmic’ Losses With Ted Cruz and Says Donald Trump Would Do Better via New York Times: https://t.co/txEaLrZ4uY,1/20/2016 23:40,1607,4335,FALSE,6.89956E+17
Twitter for iPhone,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.,1/19/2016 14:44,1586,4734,FALSE,6.89458E+17
Twitter Web Client,How does Ben Carson survive this problem – really big. Similar story on front page of New York Times.  https://t.co/y9fqUUYRnD,11/18/2015 15:34,1115,2208,FALSE,6.67003E+17
Twitter for iPhone,Trump’s Campaign Hat Becomes an Ironic Summer Accessory - The New York Times. http://t.co/XLELUQfxof,9/12/2015 15:51,989,1642,FALSE,6.42727E+17
Twitter Web Client,Via the New York Times http://t.co/IHwSRd0hXm,6/9/2015 19:40,30,41,FALSE,6.08358E+17
Twitter for Android,Dummy Bill Maher did an advertisement for the failing New York Times where the picture of him is very sad-he looks pathetic bloated &amp; gone!,12/24/2014 3:09,83,151,FALSE,5.4759E+17
Twitter for Android,"@Forbes: Donald Trump's 1987 The Art of the Deal"" spent 45 wks on the New York Times' bestseller list: http://t.co/GQsIhrr53f #Forbes400""",10/3/2014 9:41,19,37,FALSE,5.17973E+17
Twitter for Android,Frumpy and very dumb Gail Collins an editorial writer at The New York Times is so lucky to even have a job. Check her out - incompetent!,3/15/2014 21:31,47,83,FALSE,4.44949E+17
Twitter Web Client,Such a nice article in the New York Times about a wonderful developer Arthur Zeckendorf  http://t.co/RyuH1k1gpB,11/22/2013 19:07,18,23,FALSE,4.03963E+17
Twitter for Android,@Heaveenly: @realDonaldTrump how does it feel to have 2.1 million followers  Great-like owning The New York Times without the lo$$es! .,5/8/2013 1:48,53,59,FALSE,3.31949E+17
Twitter for Android,@NNNmrk: @realDonaldTrump You need to write another Time to Get Tough Book. It'll be another new york times best seller. GOOD IDEA!,4/30/2013 0:29,15,12,FALSE,3.2903E+17
Twitter for Android,Major article in New York Times today discusses the cost of environmental damage in China and how it is RAPIDLY GROWNG! Rest of World pays.,3/30/2013 21:47,96,31,FALSE,3.18117E+17
Twitter Web Client,I endorsed a book on ObamaCare &amp; it just went to #2 on the New York Times bestseller list!,2/12/2013 16:55,57,63,FALSE,3.01374E+17
