source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Twitter “SHADOW BANNING” prominent Republicans. Not good. We will look into this discriminatory and illegal practice at once! Many complaints.,07-26-2018 11:46:09,50130,159804,false,1022447980408983552
Twitter for iPhone,Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon the Washington Post who constantly quote anonymous sources that in my opinion don’t exist - They will both be out of business in 7 years!,07-07-2018 13:21:11,30058,126598,false,1015586529484443648
Twitter for iPhone,My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and having an impact.,11-03-2017 10:51:51,27721,108996,false,926401530013642765
Twitter for iPhone,RT @TwitterData: These are the 10 most Tweeted about world leaders during the first day of #UNGA General Debate https://t.co/HhlOlNAkDJ,09-22-2017 10:30:56,5407,0,true,911175977878872064
Twitter for iPhone,RT @markets: What Is Trump worth to Twitter? One analyst estimates $2 billion https://t.co/knniVpqr35 https://t.co/djkZiRk5nL,09-17-2017 12:29:57,5606,0,true,909393991635996672
Twitter for iPhone,FLORIDA- Visit https://t.co/pdBaD9t8SK to find shelters road closures &amp; evacuation routes. Helpful Twitter list: https://t.co/BUMVlxGFe8 https://t.co/ncnuqCeB5K,09-09-2017 15:41:55,16347,49234,false,906543198599876608
Twitter for Android,"@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency." Very dishonest media!,01-17-2017 01:42:18,12578,61205,false,821170750983995392
Twitter for Android,Wow Twitter Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!,10-30-2016 14:26:30,35433,72013,false,792734426912337920
Twitter for iPhone,I will be handing over my Twitter account to my team of deplorables for tonight's #debate#MakeAmericaGreatAgain,10-20-2016 00:48:32,7508,25004,false,788904702528229376
Twitter for iPhone,My team of deplorables will be taking over my Twitter account for tonight's #debate#MakeAmericaGreatAgain,10-10-2016 00:24:46,12562,41042,false,785274843042230280
Twitter for iPhone,The #1 trend on Twitter right now is #TrumpWon - thank you!,09-27-2016 13:17:40,22047,59671,false,780758306239512577
Twitter for iPhone,My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!#DebateNight #TrumpPence16,09-26-2016 22:31:53,19222,57301,false,780535389853458432
Twitter for Android,"@brimyers813: Saw ur speech on Twitter. U give me hope and optimism. I feel as though I am in the room with u. I pray 4 ur/our success.",09-13-2016 00:49:01,5210,19240,false,775496470816514048
Twitter for iPhone,Thank you to everyone for all of the nice comments by Twitter pundits and otherwise for my speech last night.,08-19-2016 13:27:10,7582,33303,false,766627569110249472
Twitter for iPhone,To all of my twitter followers please contribute whatever you can to the campaign. We must beat Crooked Hillary. https://t.co/Xv8Q1GuWiH,07-06-2016 21:58:50,9615,24409,false,750811268219543552
Twitter for iPhone,Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.,05-07-2016 02:44:44,6956,21136,false,728777556804153346
Twitter for Android,"@Tytan01: Dear @CNN after doing a quick Google &amp; Twitter search there are over 15000 women's groups supporting DonaldTrump. Stop Lying.",03-26-2016 10:40:04,7664,18646,false,713676890750509056
Twitter for Android,I will be using Facebook and Twitter to expose dishonest lightweight Senator Marco Rubio. A record no-show in Senate he is scamming Florida,03-07-2016 13:10:22,5682,15537,false,706829345143316480
Twitter for Android,How do you fight millions of dollars of fraudulent commercials pushing for crooked politicians? I will be using Facebook &amp; Twitter. Watch!,03-07-2016 02:58:38,9070,26299,false,706675395811266560
